rowNum,month,weekOfMonth,dayOfWeek,make,accidentArea,dayOfWeekClaimed,monthClaimed,weekOfMonthClaimed,sex,maritalStatus,age,fault,policyType,vehicleCategory,vehiclePrice,policyNumber,repNumber,deductible,driverRating,daysPolicyAccident,daysPolicyClaim,pastNumberOfClaims,ageOfVehicle,ageOfPolicyHolder,policeReportFiled,witnessPresent,agentType,numberOfSuppliments,addressChangeClaim,numberOfCars,year,basePolicy,fraud
1,Dec,4,Friday,Accura,Urban,Friday,Dec,4,Male,Married,62,Third Party,Sedan - Collision,Sedan,30000 to 39000,13107,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
2,Jun,4,Wednesday,Pontiac,Urban,Wednesday,Jun,4,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13108,6,500,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1996,Liability,no
3,Dec,4,Thursday,Honda,Urban,Thursday,Dec,4,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13109,10,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,no
4,Dec,3,Saturday,Pontiac,Urban,Monday,Dec,3,Female,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,13110,14,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
5,Dec,3,Monday,Honda,Urban,Wednesday,Dec,5,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13111,11,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,no
6,Dec,3,Wednesday,Honda,Urban,Monday,Dec,3,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13112,12,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1996,Collision,no
7,Nov,5,Wednesday,Toyota,Urban,Wednesday,Nov,5,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13113,7,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
8,Dec,1,Thursday,Toyota,Urban,Tuesday,Dec,3,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13114,13,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,no
9,Jun,4,Thursday,Mazda,Urban,Monday,Oct,1,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,13115,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
10,Nov,4,Friday,Accura,Urban,Monday,Dec,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,13116,10,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
11,Nov,1,Thursday,Ford,Urban,Friday,Nov,1,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13117,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,no
12,Jun,4,Friday,Chevrolet,Rural,Tuesday,Jul,1,Male,Married,46,Third Party,Sedan - Collision,Sedan,20000 to 29000,13118,6,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,no
13,Sep,4,Sunday,Mazda,Urban,Monday,Oct,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13119,10,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,no
14,Sep,4,Sunday,Honda,Urban,Wednesday,Sep,5,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,more than 69000,13120,10,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,no
